symbol,poolAddress,gaugeAddress,externalBribe,internalBribe
vAMM-gmdUSDC/YFX,0xe83d6b56b0a88b9ffde444835b7c0b8b76cffec9,0x63a2fed510b2e76a6a6e3b1673decebc749e4542,0x4bf60d689a5cb4eea6408728033a3eb780e44a25,0x18cec5a79869a4deb7e0f445936feb7f5c62ed39
vAMM-OHM/USDC,0x49295bf17695cd145c972c87b05eb82a51f4cd5e,0x651c26b017a96ebea7fa8954be8b38cbfa656ad4,0x9778b38ae1c51b715bbf8f121986dd8e0cb63c6f,0x16b4da0f7554a52e66740ca03cde3b658cd220b0
vAMM-tBTC/USDT,0xbc3f14da4a0f846984dfad48a9858368d6e09b35,0x66db9c64e39d8c7683995324882b2d8a85f0d686,0xae028756c4d4a51e17aca8f69b53f06b48348dcf,0x18a9215e3ee6f789b98aef560a2286dc53d05f48
vAMM-GNS/ERN,0x91da8f83ea4c722b8fda28235dca0d1771f9fb62,0x683873d448cd979b1b7584936bd7bb077541637c,0x957453d7dfb382bd7136548b2309fd031650c4c9,0xb8839c4c09f2748abe54e89e0e5d5cd20da9221d
vAMM-WETH/LQTY,0x393c93f8133bc89db3177d6e10182efd4129d0d1,0x6c6abadd312d8eb546d4e4b0f0cb939ed0d735cc,0x180d232b434ed93d5618d28ba1558000c33d2f5c,0x705c73130e19da2e52e2a235c04e93fc5c926cd8
vAMM-WETH/ARB,0xafe909b1a5ed90d36f9ee1490fcb855645c00eb3,0x6cc06aa6e37d2c3a157d0536f4bb8b3dfec4a47d,0x7a3c3688f1c42985679078874c733946141d298b,0x36569fde710b5eba09bdd3350ca6772a3da1844a
sAMM-USD+/USDC,0xa885a1e7511cf6b572d949b1e60ac0a8449f3b18,0x6cc1857f69b03d74770dbef8b7e1b9dfa5b213a6,0x55d176576cf1101ed42446e6c1c27ac92df99505,0x2e02b48ef5989f9cb39d168ef961124ab3543fe2
arbiDysonChrV3STARUSDC1bpsVault,0xd416063128bf5a81d20547adadf29b74440d6699,0x6d136788852193882bbd7b6ba71a48e0e5e5e80d,0x1f4773d28a5f75f26d0d0d6e6d3d02b9091c82b8,0x7d697146c38750ca9df735a486ab90762c45ab3a
vAMM-WETH/USDF,0x2401e2ea4cefaf14967b298b095580257ea7ff16,0x6fb7cfad1b17eeeca2a48fa887cc2905775bda72,0x6ccb69e5dc8d8f06daae56dd718b5f51435c1f73,0xcdbb7b1b04d214fab1d077cdabff4ff4b73076c2
vAMM-pTSLA/USDC,0x1d96c04f6fe22510acb3ca333387e8a9b4824ec7,0x726ea904503c7e89e8bd0251a893fc257d57968f,0x698804ee234ca844a1b204b2f2954b096a8cc6c8,0x74790a9155930e8809a8d3f491afdeaee7415bb1
sAMM-ARB/USDC,0x3f637e5ca73643472d362c2193564d9148947c4e,0x73081d9618d9a2a917f4baacda031d4ab0dc7d2c,0x909ae0967b94b48289056de090ea4ccb9729e0b0,0xcebbaf13650b65b1a3a8f4aec61aff7ba433831f
vAMM-CHR/USDT,0x56cd460626d5268d7ee19c076af7bc64f47d834b,0x7892846694616fa4aad6f0af351a17d1c7bec9f7,0x25aee23bd6af1d9438a4ae53daecc9f003d848a3,0xfc0a1cc61fb6321c97b99b4f6bea477121ca935f
sAMM-CHR/USDC,0xd284707d48b2c020c5a438c81966a71d787f0575,0x78e50a6ecd89dd4747d51998cb1645c7e27dd8e9,0x498f7438b0110eb94f61946c27427586ad3d5be3,0x2e89f6103f1be37db0e05f3722103d54e65a152f
vAMM-THOREUM/WETH,0x20b8b4619e5dae824d481b4a5b09cff669ffdc48,0x7a91496efd1d7bf71d3832f4c6356d3f90e35812,0x7068e122d95753c83556572aa7ef4947adaa9a37,0x04686b8f17918091f17ad1a29f24faf2e725b298
vAMM-IBEX/USDC,0xeee5fbcff2f22b351d0a693ed62c515c01ef3eca,0x7d5d79ab51e62da3493ef13ac514443441bb4b22,0x983d36ac1a5c4689e8963125e1318a18344d2644,0x8cba75fb1631af89d3cf04651f904b15188d264b
vAMM-FRAX/ERN,0xc2a607b098acfc5cc97b8bb3a6d9fa5a7642c41b,0x7f1c5d18c09d46c46a8e16e8927430cad7e2e904,0x9b6731264c581e51643c94bbb4fea30d250e0be0,0x89add8ebbd879b221855a5501e098256bf337106
vAMM-WBTC/THOREUM,0xae42cae5a1edd3adcbba81687974cb6530031578,0x7ff30e3264182944c61f12da0db5e4f1b163a4bf,0x56f627d689482fbc4c5f667ef59a902914a2b1a2,0x6a92aec70a1a17b9efa5d9acc8926ec02c1d1a7e
arbiDysonChrV3ARBUSDCe5bpsVault,0x2e62d340cdc21848d444d6b454f89a541f9969d6,0x80763cdbae59f32427e00bd118fdaf733a3dc5f0,0x102d352c45e9c88fc5e8a051842e2177fcf2c977,0xf109dc2b6bcb8be0c33d8c74e154a09023845e42
sAMM-CRV/DAI,0xe50eeb34a702e4c69e61b53fcd152f9711422d97,0x81185f02e5f3998de40decbca046211a0f96f51f,0x002ae4f9ea1927e1d43f93646db4fa8f5c778602,0xda90ac29b5139e53b2aca9011f96f87b069c97ba
vAMM-WETH/elCHR,0x176791a1afc80d201d4d0a5a9a66bbe726f83ee3,0x840a2b33cc38305cc1fe1d5afbc21d19aa3a80d7,0xdcaa0a4863721271bd1c55979039b1206b92c85d,0x24ef1c95c21eb50205f6fc49e079bd78a77e356a
vAMM-WETH/RING,0x8744419d3bc0f73dfce66b7846c563451af0aecf,0x85ed345a485f14a9ea3466bbcc948d81b542809b,0xda9099d5f72993ad920fdff5730df5260fdcc4ae,0x0407dc7cc035a255a2a78dccc8c9e453cdc53604
vAMM-CRV/DAI,0xf5adf3a54f28f0bc0d37f11e2b17e9975ecb6797,0x8683f0bb199e05874e0a3e0c7db8b31c6450c984,0x80e2d39fd892d19d68e7643a861b1d41d4821e1d,0x85ee9aa2eadf1bbf104662a65d0decc046706651
vAMM-FRAX/USD+,0x0df5f52afa0308fdd65423234c4fda9add0b9eba,0x88e12cd1aed7576733041b22317204e871290c99,0x70037bb2b05c453c95cfc4f02c163eecf8278cf1,0x6edb995e58b00027bcaa60fce29f3d9e3c70ba8d
